OrderDetailID,OrderID,ProductName,ProductType,Quantity
231,164,Củ sạc nhanh UGREEN 5V 2.1A với đầu cắm Eu chất lượng cao,Black,1
232,164,Dây cáp sạc nhanh/ truyền dữ liệu UGREEN 3A đầu cắm TypeC USB sang Type C,Black+1.5m,1
233,165,[Mã PET20K giảm 20K đơn 250K] THUỐC DIỆT KIẾN GIÁN Sinh Học ANBIO Chai 10ml Xuất xứ Việt Nam - Pet shop Uytinpro,,2
234,165,"Dung dịch pha nước phun HANTOX-200 Chai 50ml Sx tại VN, Diệt ruồi, muỗi, kiến, gián, rận, ve, ghẻ, bọ chét, mòng, mạt gà",,1
235,166,"Nước rửa tròng kính , dung dịch vệ sinh mắt kính chính hãng TAMANHOPTICAL",,1
236,166,"( Rẻ vô địch ) Kính viễn thị lão thị đọc sách , đi đường gọng nhựa đủ số giá rẻ","+2,00",1
237,166,[Phụ kiện mắt kính] Combo 10 chiếc khăn lau kính,,1
238,166,BỘ VE ĐỆM MŨI GỌNG KÍNH MỀM MẠI CHỐNG TRƯỢT KÍNH,1 đôi,1
239,167,HEO NHỰA BIG SIZE 28cm HÀNG CAO CẤP,"Ngẫu nhiên,28cm",1
240,167,Bút dạ dầu viết cd (bút vĩnh cửu) không trôi,"Đỏ,Free",1
241,167,Bút dạ dầu viết cd (bút vĩnh cửu) không trôi,"Xanh đen,Free",1
242,168,Bộ 2 Pin+Dock sạc ba Kingma cho Sony NP-BX1 Kèm hộp chống ẩm,Pin Lẻ,1
243,169,Chảo Chống Dính  Vân Tổ Ong Sâu Lòng Size 32 CM Nấu Canh Xào Kho Thoải Mái,,1
244,170,Củ sạc nhanh UGREEN 5V 2.1A với đầu cắm Eu chất lượng cao,Black,1
245,171,SALE LỖ _ Thùng 24 Chai Nước Ngọt Revive Muối Khoáng 500ml,,1
246,172,Bàn chải P/S Lông Tơ Siêu Mềm,,1
247,172,Kem đánh răng P/S ngừa sâu răng 180g tặng P/s 30g,,1
248,173,"Cáp sạc nhanh Micro USB 2.0A UGREEN US290 độ dài từ 0.25m đến 2m, vỏ sợi bện siêu bền",60147 Xám đen 1.5m,2
249,174,Bộ Xếp Cốc Tốc Độ Yuxin Sport Cup Speed Stacking Size Đại,Đỏ  Size Lớn,1
250,174,Bộ Xếp Cốc Tốc Độ Yuxin Sport Cup Speed Stacking Size Đại,Vàng Size Lớn,1
251,175,SALE LỖ _ Thùng 24 Chai Nước Ngọt Revive Muối Khoáng 500ml,,1
252,176,✅[LOẠI THƯỢNG HẠNG] Đông Trùng Hạ Thảo 100gr Sấy Khô Sợi To Ngon Hàng Cao Cấp Bồi Bổ Cơ Thể,200gr,1
253,177,Bộ Xếp Cốc Tốc Độ Yuxin Sport Cup Speed Stacking Size Đại,Xanh Lá  Size Lớn,1
254,177,"[Phụ kiện Rubik] Dây/ Cáp Kết Nối QiYi Timer Với Máy Tính, Điện Thoại, Display Chính Hãng - QiYi Timer Data Cord",,1
255,178,"[CHỐNG NƯỚC] Tấm lót chuột, bàn di chuột game cỡ lớn","Cờ VN (C/ NƯỚC),80x30x0.3",1
256,178,"[CHỐNG NƯỚC] Tấm lót chuột, bàn di chuột game cỡ lớn","VanGo-1 (C /NƯỚC),80x30x0.3",1
257,179,"Cáp Sạc Nhanh Siêu Bền UGREEN Type C US288 - Đầu Bằng Hợp Kim, Dòng 3A Tương Thích Với Các Thiết Bị Android",UGREEN VỎ NYLON BỆN,1
258,179,Củ Sạc Nhanh UGREEN QC 3.0 18W Chất Lượng Cao Hỗ Trợ QC 3.0 Dành Cho Samsung Xiaomi Oppo Realme Vsmart Và Máy Tính Bảng,"UGREEN 10,5W",1
259,180,【NỘI ĐỊA THÁI】 Chai Xịt Đuổi Chuột Rat Off - Anti Rat Spray Thái Lan (Có Tem Vàng),,2
260,181,Quạt cầm tay mini tích điện GAABOR GFH-N78A sạc USB di động tiện lợi - Hàng chính hãng,,1
261,182,Túi chườm nóng lạnh Hoạt Hình dễ thương lông mịn giảm đau hạ sốt,Bé ômGấu-Hồng450ml,1
262,182,Mèo béo bóp giảm stress - Thú dẻo bóp giảm stress Mèo Béo - Heo Hồng - Chó Shiba - Vịt Vàng dạng mochi silicon bóp dẻo,Heo Cát dẻo,1
263,183,"Phụ kiện Rubik Sticker Gan, Valk, GTS","GTS, GTSv2 Đen",1
264,183,Moyu Aolong V2 Flagship Siêu giảm giá,V2 Stickerles,1
265,183,Rubik 3x3x3. FlagShip Siêu Giảm Giá Moyu Meiying Stickerless,Stickerless Đỏ,1
266,183,Rubik 3x3x3. Flagship Siêu Giảm Giá. Moyu TangLong,3. Xám,1
267,183,Rubik 3x3x3. Flagship Siêu giảm giá. Mars Hiếm,4. Đen Mars S,1
268,184,Bình Tưới Cây Phun Sương Dudaco 2L,,1
269,184,Bộ Dụng Cụ Làm Vườn Mini 3 Món. Dành Cho Bé Và Người Lớn,,1
270,185,"CỮ MAY NẸP CÚC, NẸP KHUYẾT ÁO SƠ MI ,CUỐN BIÊN - CHUẨN THỢ CỮ GÁ LÀM",2.5cm,1
271,186,"Ống Cắm Dao Xéo-Làm Bằng Gỗ Thông Tự Nhiên, Thiết Kế Hiện Đại Tỉ Mỉ",Ống dao xéo,1
272,187,CHẢO CHỐNG DÍNH CHẢO VÂN TỔ ONG SÂU LÒNG SIZE 32 CM (ảnh thật),Chảo tổ ong 32cm,1
273,187,"Chảo chống dính, chảo sâu lòng happycook phi 20-30cm (Đen) không từ -  HÀNG CHÍNH HÃNG, LỖI 1 ĐỔI 1",SHS22 Phi 22cm,1
274,188,Bộ Dao Cạo Râu (1 Cán Cạo + 36 Lưỡi Kép + Kem Cạo Râu),,1
275,189,Rubik 3x3 MoYu MeiLong 3M M Series MoYu M MeiLong M Rubic 3 Tầng Nam Châm Stickerless,,1
276,189,Rubik 3x3 RS3M 2020/ 2021 Maglev MoYu MF3RS3 M Rubic Nam Châm 3 Tầng Stickerless,RS3M 2020,1
277,189,Rubik 2x2 QiYi 2 Tầng QiDi Khối Lập Phương Rubic 2x2x2 Đồ Chơi Thông Minh,,1
278,190,"[CHỐNG NƯỚC] Tấm lót chuột, bàn di chuột game cỡ lớn","Flat-01 (C/ NƯỚC),80x30x0.3",1
279,191,[Mã GROXUAN1 giảm 8% đơn 150K] Cà phê PHỐ bịch 30 gói*24g/ Hộp 10 gói*24g,Bịch 30 gói,1
280,192,SALE LỖ _ Thùng 24 Chai Nước Ngọt Revive Muối Khoáng 500ml,,1
281,193,Quần dài nam trơn quần tây vải kaki ống đứng form chuẩn cao cấp Chiaro,"Xám,30",1
282,193,Quần dài nam trơn quần tây vải kaki ống đứng form chuẩn cao cấp Chiaro,"Ghi tối,30",1
